Race_id;Corner_Number;Corner_X;Corner_Y
2026064;1;-7381,10693359375;-4719,94921875
2026064;2;-3634,549072265625;-3769,346435546875
2026064;3;-2275,6494140625;-3071,90087890625
2026064;4;-2745,11328125;-1956,1094970703125
2026064;5;-1422,224853515625;-197,89369201660156
2026064;6;-797,2467651367188;-1127,089111328125
2026064;7;-1016,8847045898438;-477,5965576171875
2026064;8;-271,22930908203125;-251,0789794921875
2026064;9;-1126,0921630859375;-3321,8916015625
2026064;10;-4159,9892578125;-4441,59521484375
2026064;11;-4579,203125;-4621,61669921875
2026064;12;-6814,4267578125;-4914,705078125
2026064;13;-7167,99951171875;-6327,60107421875
2026064;14;-6992,05419921875;-6563,8642578125
2026064;15;-6752,3818359375;-7870,388671875
2026064;16;-6875,2265625;-8042,5830078125
2026064;17;-6723,556640625;-8744,119140625
2026064;18;-5928,0;-9572,421875
2026064;19;-6718,7294921875;-9704,8701171875
2026014;1;-3650,594482421875;1193,7841796875
2026014;2;-3555,05322265625;1992,750244140625
2026014;3;-7194,97021484375;7101,9423828125
2026014;4;-5878,734375;7709,86474609375
2026014;5;-5870,66259765625;9676,8056640625
2026014;6;-2280,641357421875;11861,5595703125
2026014;7;-1296,3824462890625;11398,0087890625
2026014;8;502,41253662109375;10576,3115234375
2026014;9;2838,84375;798,9598388671875
2026014;10;3973,896484375;855,0198974609375
2026014;11;7489,130859375;-4851,34521484375
2026014;12;5020,2177734375;-5538,8876953125
2026014;13;3587,2265625;-3634,0
2026014;14;2300,2841796875;-4454,0234375
2026024;1;-5247,443359375;-2414,479736328125
2026024;2;-5133,3388671875;-986,1815795898438
2026024;3;-4563,62158203125;-2055,360595703125
2026024;4;-4096,869140625;-1006,836669921875
2026024;5;-6014,22705078125;1311,9625244140625
2026024;6;-6594,7578125;3667,179443359375
2026024;7;-3495,4052734375;611,8964233398438
2026024;8;-1413,2674560546875;2477,544677734375
2026024;9;-166,50686645507812;1202,739990234375
2026024;10;600,0055541992188;1968,2391357421875
2026024;11;-1811,59228515625;6056,27783203125
2026024;12;-2493,604248046875;5631,4306640625
2026024;13;-2345,06982421875;7168,982421875
2026024;14;5434,50634765625;-3601,620361328125
2026024;15;4727,81494140625;-3281,814697265625
2026024;16;2978,087890625;-910,5693969726562
2026034;1;5954,5959774740895;-6043,797284217995
2026034;2;5411,746104880109;-6985,870032582339
2026034;3;3770,348047981657;-5370,929540536406
2026034;4;2554,6165880721856;-4969,478669439493
2026034;5;1863,1226597549849;-3634,6854876662646
2026034;6;343,85712481205337;-3137,3369407498194
2026034;7;-615,7460759855876;-519,8197239235956
2026034;8;-3936,654450370991;-2323,145349123679
2026034;9;-5453,049411891635;-2538,2158787028984
2026034;10;-6229,209841459328;449,90897792871783
2026034;11;-5964,645827643905;1876,7427270592411
2026034;12;-7552,525447521042;119,00061323765294
2026034;13;-12335,806432804478;3018,43343123628
2026034;14;-13731,830146348011;2733,4255815621927
2026034;15;-4974,205292741207;-1679,8087305899478
2026034;16;-1819,3270665623027;517,5898076307235
2026034;17;-1184,012752766967;429,7002676291654
2026034;18;332,7065004009637;616,534453144171
2026044;1;5000,369793483242;-1839,8522404781493
2026044;2;4462,642212325851;-2689,7583956578064
2026044;3;4309,500670688195;-3575,67295168473
2026044;4;-676,0693652512309;-2600,6091257160274
2026044;5;-1907,3326955178982;-3176,9562439254723
2026044;6;-3137,5593907383045;-2430,703374495633
2026044;7;-4269,134881984064;-3061,383489615324
2026044;8;-4102,85861495594;-3929,779531894037
2026044;9;1099,937315405985;-4144,409317682837
2026044;10;3806,3527998616332;-4793,668301112775
2026044;11;9665,021110379748;-2550,919180644675
2026044;12;9121,664811212708;-1632,476629886879
2026044;13;10178,349780215427;-1114,2869760280732
2026044;14;10550,674337648416;-506,2839966977317
2026044;15;10423,83331142524;-365,12324260597416
