Time;Race_id;Driver;DriverNumber;LapTime;LapNumber;Stint;IsPersonalBest;Compound;TyreLife;FreshTyre;Team;LapStartTime;LapStartDate;Position;Deleted;IsAccurate;LapTimeSec;Sector1TimeSec;Sector2TimeSec;Sector3TimeSec;Speed_MIN;Speed_AVG;Speed_MAX;DeltaTime;Compound_c
0 days 01:31:42.835000;2026014;RUS;63;0 days 00:01:18.518000;21,0;8,0;True;SOFT;2,0;True;Mercedes;0 days 01:30:24.317000;2026-03-07 06:17:43.029;1;False;True;18,518;27,498;17,284;33,736;94,0;239,6;327,0;0,0;#E10600
0 days 01:31:11.365000;2026014;ANT;12;0 days 00:01:18.811000;17,0;6,0;True;SOFT;2,0;True;Mercedes;0 days 01:29:52.554000;2026-03-07 06:17:11.266;2;False;True;18,811000000000007;27,556;17,44;33,815;97,0;239,8;324,0;0,29300000000000637;#E10600
0 days 01:32:30.009000;2026014;HAD;6;0 days 00:01:19.303000;18,0;7,0;True;SOFT;2,0;True;Red Bull Racing;0 days 01:31:10.706000;2026-03-07 06:18:29.418;3;False;True;19,302999999999997;27,747;17,52;34,036;93,0;238,5;325,0;0,7849999999999966;#E10600
0 days 01:32:17.661000;2026014;LEC;16;0 days 00:01:19.327000;23,0;7,0;True;SOFT;2,0;True;Ferrari;0 days 01:30:58.334000;2026-03-07 06:18:17.046;4;False;True;19,326999999999998;27,761;17,505;34,061;101,0;237,8;318,0;0,8089999999999975;#E10600
0 days 01:32:08.700000;2026014;PIA;81;0 days 00:01:19.380000;25,0;7,0;True;SOFT;2,0;True;McLaren;0 days 01:30:49.320000;2026-03-07 06:18:08.032;5;False;True;19,379999999999995;27,737;17,655;33,988;95,0;238,6;318,0;0,8619999999999948;#E10600
0 days 01:32:40.085000;2026014;NOR;1;0 days 00:01:19.475000;25,0;7,0;True;SOFT;2,0;True;McLaren;0 days 01:31:20.610000;2026-03-07 06:18:39.322;6;False;True;19,474999999999994;27,754;17,568;34,153;95,0;236,4;323,0;0,9569999999999936;#E10600
0 days 01:32:47.041000;2026014;HAM;44;0 days 00:01:19.478000;24,0;7,0;True;SOFT;2,0;True;Ferrari;0 days 01:31:27.563000;2026-03-07 06:18:46.275;7;False;True;19,477999999999994;27,756;17,57;34,152;96,0;236,1;318,0;0,9599999999999937;#E10600
0 days 01:33:11.212000;2026014;LAW;30;0 days 00:01:19.994000;23,0;6,0;True;SOFT;3,0;True;Racing Bulls;0 days 01:31:51.218000;2026-03-07 06:19:09.930;8;False;True;19,994;28,206;17,395;34,393;90,0;234,1;328,0;1,475999999999999;#E10600
0 days 01:33:01.858000;2026014;LIN;41;0 days 00:01:21.247000;24,0;6,0;True;SOFT;3,0;True;Racing Bulls;0 days 01:31:40.611000;2026-03-07 06:18:59.323;9;False;True;21,247;28,023;18,423;34,801;93,0;231,3;317,0;2,728999999999999;#E10600
0 days 00:58:27.578000;2026014;HUL;27;0 days 00:01:20.303000;15,0;4,0;True;SOFT;2,0;True;Audi;0 days 00:57:07.275000;2026-03-07 05:44:25.987;10;False;True;20,302999999999997;28,587;17,405;34,311;93,0;235,6;331,0;1,7849999999999966;#E10600
0 days 01:01:08.309000;2026014;BEA;87;0 days 00:01:20.311000;17,0;4,0;True;SOFT;3,0;True;Haas F1 Team;0 days 00:59:47.998000;2026-03-07 05:47:06.710;11;False;True;20,311000000000007;28,492;17,439;34,38;96,0;235,0;326,0;1,7930000000000064;#E10600
0 days 00:51:31.908000;2026014;OCO;31;0 days 00:01:20.491000;13,0;3,0;True;SOFT;3,0;True;Haas F1 Team;0 days 00:50:11.417000;2026-03-07 05:37:30.129;12;False;True;20,491;28,499;17,469;34,523;98,0;234,1;326,0;1,972999999999999;#E10600
0 days 00:52:25.045000;2026014;GAS;10;0 days 00:01:20.501000;13,0;3,0;True;SOFT;3,0;True;Alpine;0 days 00:51:04.544000;2026-03-07 05:38:23.256;13;False;True;20,501000000000005;28,339;17,557;34,605;93,0;234,5;325,0;1,983000000000004;#E10600
0 days 00:55:14.375000;2026014;ALB;23;0 days 00:01:20.941000;16,0;5,0;True;SOFT;2,0;True;Williams;0 days 00:53:53.434000;2026-03-07 05:41:12.146;14;False;True;20,941000000000003;28,292;17,74;34,909;96,0;232,3;320,0;2,423000000000002;#E10600
0 days 01:01:39.987000;2026014;COL;43;0 days 00:01:21.270000;17,0;4,0;True;SOFT;3,0;True;Alpine;0 days 01:00:18.717000;2026-03-07 05:47:37.429;15;False;True;21,269999999999996;28,489;17,621;35,16;90,0;231,8;324,0;2,7519999999999953;#E10600
0 days 00:38:52.857000;2026014;ALO;14;0 days 00:01:21.969000;9,0;2,0;True;SOFT;4,0;True;Aston Martin;0 days 00:37:30.888000;2026-03-07 05:24:49.600;16;False;True;21,968999999999994;28,797;18,047;35,125;87,0;229,9;316,0;3,4509999999999934;#E10600
0 days 00:39:09.261000;2026014;PER;11;0 days 00:01:22.605000;6,0;3,0;True;SOFT;2,0;True;Cadillac;0 days 00:37:46.656000;2026-03-07 05:25:05.368;17;False;True;22,605000000000004;29,138;17,819;35,648;92,0;225,2;320,0;4,087000000000003;#E10600
0 days 00:39:04.074000;2026014;BOT;77;0 days 00:01:23.244000;7,0;3,0;True;SOFT;2,0;True;Cadillac;0 days 00:37:40.830000;2026-03-07 05:24:59.542;18;False;True;23,244;29,198;18,068;35,978;93,0;224,6;310,0;4,725999999999999;#E10600
0 days 01:14:03.387000;2026024;ANT;12;0 days 00:01:32.064000;14,0;5,0;True;SOFT;2,0;True;Mercedes;0 days 01:12:31.323000;2026-03-14 07:57:40.635;1;False;True;32,06399999999999;24,013;27,664;40,387;68,0;210,3;332,0;0,0;#E10600
0 days 01:16:00.871000;2026024;RUS;63;0 days 00:01:32.286000;12,0;5,0;True;SOFT;2,0;True;Mercedes;0 days 01:14:28.585000;2026-03-14 07:59:37.897;2;False;True;32,286;24,012;27,783;40,491;68,0;210,0;333,0;0,2220000000000084;#E10600
0 days 01:14:35.913000;2026024;HAM;44;0 days 00:01:32.415000;18,0;6,0;True;SOFT;2,0;True;Ferrari;0 days 01:13:03.498000;2026-03-14 07:58:12.810;3;False;True;32,415000000000006;24,184;27,696;40,535;68,0;211,4;329,0;0,3510000000000133;#E10600
0 days 01:14:26.600000;2026024;LEC;16;0 days 00:01:32.428000;19,0;6,0;True;SOFT;2,0;True;Ferrari;0 days 01:12:54.172000;2026-03-14 07:58:03.484;4;False;True;32,428;24,118;27,66;40,65;66,0;208,2;330,0;0,3640000000000043;#E10600
0 days 01:07:20.677000;2026024;PIA;81;0 days 00:01:32.550000;16,0;5,0;True;SOFT;2,0;True;McLaren;0 days 01:05:48.127000;2026-03-14 07:50:57.439;5;False;True;32,55;24,12;27,729;40,701;68,0;211,4;330,0;0,4860000000000042;#E10600
0 days 01:07:10.738000;2026024;NOR;1;0 days 00:01:32.608000;16,0;5,0;True;SOFT;2,0;True;McLaren;0 days 01:05:38.130000;2026-03-14 07:50:47.442;6;False;True;32,608000000000004;24,078;27,782;40,748;68,0;209,7;331,0;0,5440000000000111;#E10600
0 days 01:14:45.053000;2026024;GAS;10;0 days 00:01:32.873000;20,0;6,0;True;SOFT;2,0;True;Alpine;0 days 01:13:12.180000;2026-03-14 07:58:21.492;7;False;True;32,873000000000005;24,185;27,788;40,9;68,0;206,5;340,0;0,8090000000000117;#E10600
0 days 01:15:14.573000;2026024;VER;3;0 days 00:01:33.002000;19,0;6,0;True;SOFT;2,0;True;Red Bull Racing;0 days 01:13:41.571000;2026-03-14 07:58:50.883;8;False;True;33,001999999999995;24,359;27,975;40,668;67,0;201,7;334,0;0,9380000000000024;#E10600
0 days 01:15:08.052000;2026024;HAD;6;0 days 00:01:33.121000;19,0;6,0;True;SOFT;2,0;True;Red Bull Racing;0 days 01:13:34.931000;2026-03-14 07:58:44.243;9;False;True;33,120999999999995;24,529;27,933;40,659;66,0;210,6;334,0;1,0570000000000022;#E10600
0 days 01:14:52.240000;2026024;BEA;87;0 days 00:01:33.292000;18,0;6,0;True;SOFT;2,0;True;Haas F1 Team;0 days 01:13:18.948000;2026-03-14 07:58:28.260;10;False;True;33,292;24,361;27,891;41,04;69,0;211,5;325,0;1,2280000000000086;#E10600
0 days 00:53:30.133000;2026024;HUL;27;0 days 00:01:33.354000;11,0;4,0;True;SOFT;2,0;True;Audi;0 days 00:51:56.779000;2026-03-14 07:37:06.091;11;False;True;33,354;24,592;27,937;40,825;66,0;204,3;333,0;1,2900000000000063;#E10600
0 days 00:55:15.219000;2026024;COL;43;0 days 00:01:33.357000;14,0;5,0;True;SOFT;2,0;True;Alpine;0 days 00:53:41.862000;2026-03-14 07:38:51.174;12;False;True;33,357;24,254;28,078;41,025;65,0;205,8;343,0;1,2930000000000064;#E10600
0 days 00:44:55.035000;2026024;OCO;31;0 days 00:01:33.538000;10,0;3,0;True;SOFT;2,0;True;Haas F1 Team;0 days 00:43:21.497000;2026-03-14 07:28:30.809;13;False;True;33,538;24,344;28,064;41,13;63,0;205,8;333,0;1,4740000000000038;#E10600
0 days 00:46:51.026000;2026024;LAW;30;0 days 00:01:33.765000;11,0;3,0;True;SOFT;5,0;False;Racing Bulls;0 days 00:45:17.261000;2026-03-14 07:30:26.573;14;False;True;33,765;24,634;28,157;40,974;67,0;203,9;320,0;1,7010000000000076;#E10600
0 days 00:45:43.858000;2026024;LIN;41;0 days 00:01:33.784000;11,0;3,0;True;SOFT;2,0;True;Racing Bulls;0 days 00:44:10.074000;2026-03-14 07:29:19.386;15;False;True;33,784000000000006;24,492;28,254;41,038;63,0;207,2;335,0;1,720000000000013;#E10600
0 days 00:45:26.546000;2026024;BOR;5;0 days 00:01:33.965000;11,0;4,0;True;SOFT;2,0;True;Audi;0 days 00:43:52.581000;2026-03-14 07:29:01.893;16;False;True;33,965;24,607;28,272;41,086;69,0;192,5;338,0;1,9010000000000105;#E10600
0 days 00:32:47.641000;2026024;SAI;55;0 days 00:01:34.317000;9,0;3,0;True;SOFT;2,0;True;Williams;0 days 00:31:13.324000;2026-03-14 07:16:22.636;17;False;True;34,31699999999999;24,465;28,669;41,183;66,0;207,1;338,0;2,253;#E10600
0 days 00:32:02.312000;2026024;ALB;23;0 days 00:01:34.772000;9,0;3,0;True;SOFT;2,0;True;Williams;0 days 00:30:27.540000;2026-03-14 07:15:36.852;18;False;True;34,772000000000006;24,526;28,876;41,37;64,0;207,2;335,0;2,7080000000000126;#E10600
0 days 00:33:17.623000;2026024;ALO;14;0 days 00:01:35.203000;8,0;3,0;True;SOFT;2,0;True;Aston Martin;0 days 00:31:42.420000;2026-03-14 07:16:51.732;19;False;True;35,203;24,782;28,723;41,698;70,0;203,7;320,0;3,13900000000001;#E10600
0 days 00:33:54.115000;2026024;BOT;77;0 days 00:01:35.436000;8,0;3,0;True;SOFT;2,0;True;Cadillac;0 days 00:32:18.679000;2026-03-14 07:17:27.991;20;False;True;35,43600000000001;24,949;28,972;41,515;66,0;198,2;335,0;3,372000000000014;#E10600
0 days 00:33:12.716000;2026024;STR;18;0 days 00:01:35.995000;8,0;3,0;True;SOFT;2,0;True;Aston Martin;0 days 00:31:36.721000;2026-03-14 07:16:46.033;21;False;True;35,995000000000005;24,953;29,204;41,838;68,0;204,1;324,0;3,9310000000000116;#E10600
0 days 00:33:36.199000;2026024;PER;11;0 days 00:01:36.906000;5,0;2,0;True;SOFT;2,0;True;Cadillac;0 days 00:31:59.293000;2026-03-14 07:17:08.605;22;False;True;36,906000000000006;26,049;29,246;41,611;65,0;193,5;334,0;4,842000000000013;#E10600
0 days 01:02:02.300000;2026034;ANT;12;0 days 00:01:28.778000;11,0;4,0;True;SOFT;2,0;True;Mercedes;0 days 01:00:33.522000;2026-03-28 06:49:00.960;1;False;True;28,778000000000006;31,855;39,439;17,484;74,0;218,3;321,0;0,0;#E10600
0 days 01:02:08.688000;2026034;RUS;63;0 days 00:01:29.076000;17,0;5,0;True;SOFT;2,0;True;Mercedes;0 days 01:00:39.612000;2026-03-28 06:49:07.050;2;False;True;29,075999999999993;31,853;39,607;17,616;71,0;234,2;329,0;0,2979999999999876;#E10600
0 days 01:03:00.133000;2026034;PIA;81;0 days 00:01:29.132000;16,0;5,0;True;SOFT;2,0;True;McLaren;0 days 01:01:31.001000;2026-03-28 06:49:58.439;3;False;True;29,132000000000005;31,963;39,557;17,612;76,0;232,7;326,0;0,3539999999999992;#E10600
0 days 01:12:21.449000;2026034;LEC;16;0 days 00:01:29.405000;17,0;5,0;True;SOFT;2,0;True;Ferrari;0 days 01:10:52.044000;2026-03-28 06:59:19.482;4;False;True;29,405;31,655;39,947;17,803;73,0;231,8;330,0;0,6269999999999953;#E10600
0 days 01:02:52.051000;2026034;NOR;1;0 days 00:01:29.409000;16,0;5,0;True;SOFT;2,0;True;McLaren;0 days 01:01:22.642000;2026-03-28 06:49:50.080;5;False;True;29,409000000000006;32,049;39,716;17,644;76,0;232,2;323,0;0,6310000000000002;#E10600
0 days 01:03:14.128000;2026034;HAM;44;0 days 00:01:29.567000;16,0;4,0;True;SOFT;2,0;True;Ferrari;0 days 01:01:44.561000;2026-03-28 06:50:11.999;6;False;True;29,566999999999993;31,762;39,934;17,871;76,0;229,8;326,0;0,7889999999999873;#E10600
0 days 01:12:14.585000;2026034;GAS;10;0 days 00:01:29.691000;17,0;6,0;True;SOFT;2,0;True;Alpine;0 days 01:10:44.894000;2026-03-28 06:59:12.332;7;False;True;29,691000000000003;32,143;40,029;17,519;77,0;229,9;333,0;0,9129999999999967;#E10600
0 days 01:03:35.880000;2026034;HAD;6;0 days 00:01:29.978000;14,0;5,0;True;SOFT;2,0;True;Red Bull Racing;0 days 01:02:05.902000;2026-03-28 06:50:33.340;8;False;True;29,977999999999994;32,164;40,137;17,677;75,0;230,2;330,0;1,1999999999999886;#E10600
0 days 01:11:54.242000;2026034;BOR;5;0 days 00:01:30.274000;19,0;6,0;True;SOFT;2,0;True;Audi;0 days 01:10:23.968000;2026-03-28 06:58:51.406;9;False;True;30,274;32,292;40,213;17,769;74,0;233,8;326,0;1,4959999999999951;#E10600
0 days 01:12:07.298000;2026034;LIN;41;0 days 00:01:30.319000;20,0;6,0;True;SOFT;2,0;True;Racing Bulls;0 days 01:10:36.979000;2026-03-28 06:59:04.417;10;False;True;30,319000000000003;32,548;40,155;17,616;74,0;230,7;330,0;1,5409999999999968;#E10600
0 days 00:50:08.672000;2026034;VER;3;0 days 00:01:30.262000;11,0;4,0;True;SOFT;2,0;True;Red Bull Racing;0 days 00:48:38.410000;2026-03-28 06:37:05.848;11;False;True;30,262;32,369;40,196;17,697;73,0;230,0;328,0;1,4839999999999947;#E10600
0 days 00:50:43.682000;2026034;OCO;31;0 days 00:01:30.309000;14,0;4,0;True;SOFT;2,0;True;Haas F1 Team;0 days 00:49:13.373000;2026-03-28 06:37:40.811;12;False;True;30,308999999999997;32,561;40,048;17,7;75,0;240,3;323,0;1,5309999999999917;#E10600
0 days 00:50:59.028000;2026034;HUL;27;0 days 00:01:30.387000;13,0;4,0;True;SOFT;2,0;True;Audi;0 days 00:49:28.641000;2026-03-28 06:37:56.079;13;False;True;30,387;32,4;40,181;17,806;74,0;226,4;320,0;1,6089999999999947;#E10600
0 days 00:51:44.253000;2026034;LAW;30;0 days 00:01:30.495000;14,0;4,0;True;SOFT;2,0;True;Racing Bulls;0 days 00:50:13.758000;2026-03-28 06:38:41.196;14;False;True;30,495000000000005;32,791;40,175;17,529;76,0;232,5;333,0;1,7169999999999987;#E10600
0 days 00:51:05.652000;2026034;COL;43;0 days 00:01:30.627000;11,0;4,0;True;SOFT;2,0;True;Alpine;0 days 00:49:35.025000;2026-03-28 06:38:02.463;15;False;True;30,626999999999995;32,584;40,433;17,61;73,0;237,4;331,0;1,8489999999999895;#E10600
