Time;Race_id;Driver;DriverNumber;LapNumber;Stint;IsPersonalBest;Compound;TyreLife;FreshTyre;Team;LapStartTime;Position;Deleted;IsAccurate;LapTimeSec;Sector1TimeSec;Sector2TimeSec;Sector3TimeSec;GapToLeader;V_max
0 days 01:03:56.437000;2026015;NOR;1;1,0;1,0;False;MEDIUM;1,0;True;McLaren;0 days 01:02:19.743000;6,0;False;False;96,458;0,0;18,163;38,796;0,0;333,0
0 days 01:05:23.781000;2026015;NOR;1;2,0;1,0;True;MEDIUM;2,0;True;McLaren;0 days 01:03:56.437000;6,0;False;True;87,344;31,074;18,116;38,154;3,7640000000001237;325,0
0 days 01:06:50.644000;2026015;NOR;1;3,0;1,0;True;MEDIUM;3,0;True;McLaren;0 days 01:05:23.781000;7,0;False;True;86,863;30,541;18,252;38,07;6,101000000000113;321,0
0 days 01:08:16.501000;2026015;NOR;1;4,0;1,0;True;MEDIUM;4,0;True;McLaren;0 days 01:06:50.644000;7,0;False;True;85,857;30,19;18,193;37,474;6,519999999999982;315,0
0 days 01:09:42.074000;2026015;NOR;1;5,0;1,0;True;MEDIUM;5,0;True;McLaren;0 days 01:08:16.501000;7,0;False;True;85,573;29,93;17,868;37,775;7,588000000000193;329,0
0 days 01:11:07.110000;2026015;NOR;1;6,0;1,0;True;MEDIUM;6,0;True;McLaren;0 days 01:09:42.074000;7,0;False;True;85,036;30,025;17,829;37,182;9,143999999999323;325,0
0 days 01:12:32.088000;2026015;NOR;1;7,0;1,0;True;MEDIUM;7,0;True;McLaren;0 days 01:11:07.110000;7,0;False;True;84,978;30,067;17,764;37,147;9,540999999999258;330,0
0 days 01:13:57.387000;2026015;NOR;1;8,0;1,0;False;MEDIUM;8,0;True;McLaren;0 days 01:12:32.088000;7,0;False;True;85,299;30,191;17,97;37,138;10,420000000000073;325,0
0 days 01:15:23.026000;2026015;NOR;1;9,0;1,0;False;MEDIUM;9,0;True;McLaren;0 days 01:13:57.387000;7,0;False;True;85,639;30,135;17,77;37,734;10,528999999999542;333,0
0 days 01:16:48.321000;2026015;NOR;1;10,0;1,0;False;MEDIUM;10,0;True;McLaren;0 days 01:15:23.026000;7,0;False;True;85,295;30,117;17,924;37,254;10,1899999999996;323,0
